id,first_name,last_name,days_since_workshop,days_since_coaching,manager_ni_rating,self_ni_rating,missing_assignments,withdrawal
44,Carmela,Amer,58,42,0,0,0,0
45,Leslie,Skures,21,23,0,0,2,0
46,Janean,Laughren,26,7,0,0,0,0
47,Madge,Garretts,3,13,1,0,2,0
48,Jayson,Muncer,45,7,1,0,1,0
49,Josy,Laye,52,15,1,0,1,0
50,Perice,Rielly,35,55,1,0,2,1
51,Lothaire,Matityahu,37,20,0,0,1,0
52,Zacharias,Haldin,7,35,0,1,2,0
53,Guillermo,Fidilis,7,26,1,0,2,0
54,Yevette,De La Coste,36,3,0,0,2,0
55,Rena,Dimsdale,28,40,1,0,1,1
56,Tuck,Boni,32,8,0,0,0,0
57,Jamal,O'Daly,45,46,1,0,2,1
58,Cass,Apfler,27,60,1,1,0,0
59,Amerigo,Dunnaway,19,4,0,1,2,0
60,Ignacio,Cosgrive,40,46,1,1,2,1
61,Koral,Narrie,41,8,0,0,2,0
62,Alden,Bridgewood,15,1,1,1,2,0
63,Claudelle,Vickery,38,6,0,0,0,0
64,Giffard,Court,57,1,1,0,2,0
65,Abelard,Garratt,3,60,0,1,0,0
66,Michele,Covotto,47,11,0,1,0,0
67,Jacintha,Caldeyroux,32,5,0,0,2,0
68,Quinlan,Lathey,1,3,1,0,2,0
69,Drake,Cottee,41,23,1,1,1,0
70,Keelia,Careswell,35,19,0,1,1,0
71,Nelle,Winspare,1,27,0,0,1,0
72,Osmond,Edlyne,7,4,0,0,2,0
73,Barnabe,Kordovani,5,5,1,0,1,0
74,Chrystel,Maneylaws,32,57,0,0,2,0
75,Raviv,Yankeev,28,7,1,0,0,0
76,Melina,Petrou,38,51,1,1,2,1
77,Alister,Pozzo,26,15,1,0,2,0
78,Kandy,Titchen,34,33,0,0,2,0
79,Devinne,Francom,3,41,0,0,0,0
80,Delaney,Carine,54,30,1,1,2,0
81,Thorstein,Gatesman,36,39,1,0,0,0
82,Adan,Spadeck,53,27,1,0,1,0
83,Carie,Tennison,28,51,0,0,1,0
84,Dru,Coltherd,42,28,1,0,1,0
85,Goldie,Belli,14,11,1,1,2,0
86,Maddie,Beadles,21,27,0,1,1,0
87,Costanza,Sisse,35,14,0,1,2,0
88,Ursola,Dhenin,46,8,0,0,0,0
89,Fernanda,Abbis,2,20,0,1,1,0
90,Donny,Horsburgh,31,17,1,0,0,0
91,Greg,McDuffy,31,18,0,1,1,0
92,Sarena,Suller,25,9,0,1,2,0
93,Serena,Kubacek,15,1,0,0,2,0
94,Aubree,Waples,43,59,1,1,2,1
95,Lorettalorna,Clutterham,40,59,1,1,2,1
96,Cam,Canto,55,57,0,0,1,0
97,Dante,Habron,28,60,1,1,2,1
98,Konstantin,Twydell,30,30,1,0,0,0
99,Giles,Ribbon,35,34,1,0,0,0
100,Wynnie,Estoile,42,37,1,0,0,0
101,Ofilia,Whisby,51,36,1,1,1,1
102,Jarrad,Golden of Ireland,1,12,0,0,0,0
103,Christine,Bleasdale,52,49,0,0,0,0
104,Klarrisa,McBeith,34,33,1,0,1,1
105,Oates,Roll,49,44,0,0,0,0
106,Keelia,Lacroutz,50,60,0,0,0,0
107,Nannette,Borkett,15,9,1,0,1,0
108,Leona,Shildrick,41,47,1,1,2,1
109,Harold,Balcers,49,13,1,1,0,0
110,Katerina,Wisedale,51,46,1,0,1,1
111,Aylmer,Cuddon,23,43,0,1,2,0
112,Coop,Broz,50,37,0,0,0,0
113,Glori,Chapelle,18,17,1,0,1,0
114,Wynny,Cossom,43,6,1,0,1,0
115,Malory,Rountree,40,10,0,0,1,0
116,Byram,Gogin,18,42,0,0,1,0
117,Curtice,Colerick,35,41,1,1,2,1
118,Nancey,Keasley,38,27,0,0,0,0
119,Ashien,Castiblanco,54,50,1,0,2,1
120,Mirna,Phalip,39,8,0,0,1,0
121,Cordie,Quibell,60,54,0,1,1,0
122,Cati,Marie,15,27,0,0,2,0
123,Pippo,Sawforde,22,17,1,1,0,0
124,Adda,Eaton,51,32,0,1,1,0
125,Remy,Gradly,33,19,0,1,1,0
126,Fleurette,Birley,38,42,1,0,0,0
127,Rosette,Mankor,25,55,1,1,2,1
128,Michell,Ivins,23,23,1,1,1,0
129,Lacee,McDonogh,17,34,1,0,1,1
130,Saxe,Salvin,55,35,0,1,1,0
131,Guthrey,Grunwald,53,35,1,0,2,1
132,Dillon,Skipping,56,35,0,0,0,0
133,Skippy,Drysdall,48,45,1,0,0,0
134,Alison,Manns,1,52,1,1,2,1
135,Brion,Ham,25,59,0,1,0,0
136,Gaven,Kivelhan,28,38,0,1,2,0
137,Denice,Barstowk,40,55,0,0,0,0
138,Brad,Ivanichev,14,59,1,0,0,0
139,Tildie,Sandal,6,2,1,0,1,0
140,Etienne,Yewdall,40,28,1,0,0,0
141,Odille,Duchant,18,37,1,0,2,1
142,Immanuel,Dolle,41,7,0,1,0,0
143,Julian,Hearnaman,42,20,0,1,2,0
144,Lou,Wayland,45,1,0,1,2,0
145,Ban,Denison,17,16,1,0,1,0
146,Corinna,Satterfitt,6,1,0,0,1,0
147,Beverlie,McGillivrie,49,22,1,0,1,0
148,Paulie,Davioud,15,56,0,1,1,0
149,Almeria,Brough,40,46,1,0,1,1
150,Freda,Feckey,12,1,1,1,2,0
151,Wilmer,Pickett,39,5,0,1,2,0
152,Heidie,Corpe,29,20,0,1,1,0
153,Claudine,Clements,1,27,1,1,0,0
154,Veronique,Donovan,5,43,1,1,2,1
155,Carmon,Teaz,6,44,1,0,2,1
156,Donny,Earnshaw,46,47,1,1,1,1
157,Ernie,Scurman,40,54,0,1,2,0
158,Alard,Stodart,32,17,1,0,0,0
159,Alexio,Stare,10,48,0,0,0,0
160,Trumaine,Courtin,54,45,0,1,1,0
161,Camala,Ashborne,30,23,0,1,2,0
162,Owen,Luffman,8,3,1,0,1,0
163,Ingamar,Ferens,7,21,1,0,0,0
164,Cori,Philpot,9,44,1,1,1,1
165,Cullan,Jaksic,32,14,0,1,2,0
166,Dayle,Burlingame,49,23,1,1,1,0
167,Mikkel,Tromans,19,33,0,1,2,0
168,Retha,Gritland,26,13,0,1,2,0
169,Dara,Hingeley,57,27,1,0,2,0
170,Michail,Royste,13,54,0,0,0,0
171,Bernetta,Upstell,52,51,1,1,1,1
172,Hermine,Bagnold,59,46,1,0,0,0
173,Ludwig,Bartel,50,50,1,1,2,1
174,Constantino,Fuentes,44,10,1,1,1,0
175,Gavrielle,McRae,44,28,0,0,0,0
176,Galina,Drewes,22,46,1,0,1,1
177,Rosy,Aleksandrev,7,49,1,1,1,1
178,Chiquia,McGarrell,3,30,0,1,0,0
179,Beatriz,Zukerman,10,1,0,1,1,0
180,Catrina,Pollicote,28,19,0,1,1,0
181,Gabbie,Cridlon,26,44,1,0,2,1
182,Viole,Soldan,7,55,0,1,0,0
183,Neall,Wallbanks,4,27,1,1,0,0
184,Tymothy,Battell,21,29,0,1,1,0
185,Raynell,Hammerstone,3,14,1,1,0,0
186,Christophe,Cornford,38,48,1,1,2,1
187,Jerry,Fernandes,43,16,0,1,0,0
188,Calvin,Buckam,3,48,1,0,2,1
189,Kale,Sparshett,45,22,1,1,1,0
190,Sammy,Rowson,60,38,1,0,2,1
191,Emmye,Spadoni,60,38,1,1,2,1
192,Kari,Humburton,6,8,0,1,1,0
193,Dinnie,Conor,56,21,1,0,0,0
194,Bryce,McCreagh,31,60,1,0,0,0
195,Ardenia,Whiffin,52,47,1,0,0,0
196,Yasmeen,Choules,18,55,0,1,1,0
197,Gretal,Valsler,55,49,0,1,2,0
198,Theressa,Mohan,23,30,0,0,1,0
199,Franklyn,Yeld,55,18,0,1,2,0
200,Edeline,Verne,47,53,1,0,1,1
201,Chrissie,Cestard,14,43,0,1,0,0
202,Gerrie,De la croix,32,27,0,1,0,0
203,Barby,Van Hault,26,6,0,1,2,0
204,Marylou,Veivers,57,31,1,1,1,1
205,Vicky,Knapton,14,28,1,0,2,0
206,Corny,Jarvie,58,44,1,1,1,1
207,Amery,Grinyov,45,48,1,0,2,1
208,Dinny,Housley,28,43,0,1,0,0
209,Marcellus,Janek,39,34,0,0,0,0
210,Drake,Ummfrey,55,44,0,0,1,0
211,Aubert,Langworthy,10,45,1,1,0,0
212,Chrissie,Vallens,40,40,0,1,1,0
213,Oran,Durie,59,37,1,1,2,1
214,Skip,Gait,13,36,1,1,2,1
215,Rodger,Clevely,26,17,0,1,0,0
216,Jasmine,Oakland,4,37,0,0,0,0
217,Darby,Greve,18,37,0,0,2,0
218,Amory,Rettie,50,43,0,0,1,0
219,Alyss,Nannizzi,12,39,0,1,2,0
220,Pet,Brotherhood,36,11,0,1,2,0
221,Kamila,Niessen,17,54,1,1,0,0
222,Ethel,Pena,27,3,1,0,1,0
223,Cassius,Checketts,8,32,1,1,1,1
224,Randi,Portsmouth,22,12,1,0,1,0
225,Corbet,Nelles,48,40,0,0,0,0
226,Colby,Theobold,40,29,1,1,2,0
227,Sybyl,Clementet,49,17,0,0,1,0
228,Arturo,Dickerline,58,38,0,1,2,0
229,Hebert,Aspinal,13,19,0,1,0,0
230,Eberhard,Skipworth,40,17,1,1,2,0
231,Terencio,Mowsdell,37,43,1,1,1,1
232,Rici,Deguara,19,58,1,0,0,0
233,Alyson,Odney,11,46,0,0,2,0
234,Retha,Swidenbank,13,53,1,1,2,1
235,Teirtza,Crowcroft,12,42,0,0,0,0
236,Barny,Shadrach,18,57,0,1,1,0
237,Genevra,Chesher,14,46,0,0,0,0
238,Carrol,Sibery,6,52,1,1,0,0
239,Kristien,Meagh,44,57,0,0,1,0
240,Arlene,Darwent,28,7,0,1,2,0
241,Kariotta,Tellesson,57,20,1,0,2,0
242,Rabi,Barnsdale,9,58,0,0,0,0
243,Randi,Chazelle,43,60,1,0,1,1
244,Eyde,De la Perrelle,32,5,0,1,0,0
245,Karia,Shay,10,32,0,0,0,0
246,Cristi,Timewell,57,35,1,0,2,1
247,Marcellina,Szantho,3,30,1,1,2,0
248,Winna,McErlaine,19,16,1,0,2,0
249,Towny,Canniffe,7,52,0,0,0,0
250,Jourdain,Heinschke,37,51,0,0,1,0
251,Bryanty,Waymont,35,48,1,0,2,1
252,Carlee,Smidmor,17,45,1,0,1,1
253,Stanly,Hilland,4,31,1,1,2,1
254,Merle,Voce,34,45,1,1,0,0
255,Rosana,Howcroft,14,58,0,0,0,0
256,Forest,Faunch,54,52,0,0,0,0
257,Melita,Harmond,34,42,1,1,2,1
258,Marylinda,Gillopp,34,53,0,1,2,0
259,Brit,Ruberti,31,41,1,1,0,0
260,Valerye,Latek,46,5,0,1,0,0
261,Prudy,Tomaino,3,25,0,0,1,0
262,Rosemaria,Barosch,24,25,1,1,0,0
263,Byrle,Box,50,6,1,1,0,0
264,Daren,Neeson,36,10,0,0,2,0
265,Meggie,Hepher,29,28,0,0,0,0
266,Davis,Guirard,57,39,1,0,1,1
267,Malina,Birchill,50,48,0,1,2,0
268,Leoline,Riddell,14,21,0,1,2,0
269,Nev,Franceschielli,3,13,0,0,0,0
270,Iolanthe,Bayne,52,18,1,1,2,0
271,Giustino,Clear,20,44,0,1,0,0
272,Fallon,Blaschke,32,44,1,0,2,1
273,Eadmund,Whelpdale,10,30,1,0,0,0
274,Malory,Shilton,22,34,1,0,1,1
275,Allyce,Linnitt,11,1,1,1,0,0
276,Christan,Dewitt,30,34,0,1,0,0
277,Earl,Pridmore,42,32,0,0,0,0
278,Anne-marie,Uebel,22,18,0,1,2,0
279,Orelle,Merriton,14,16,0,0,0,0
280,Tybie,Kilshall,38,56,0,0,0,0
281,Ynez,Spain-Gower,57,32,0,1,0,0
282,Padriac,Drewson,13,50,0,0,1,0
283,L;urette,Kunze,25,26,1,0,0,0
284,Abbe,MacArd,5,55,0,1,1,0
285,Iorgo,Sinney,58,18,1,0,2,0
286,Emilia,Happer,23,8,0,0,2,0
287,Katheryn,Pyecroft,60,13,1,1,0,0
288,Gina,Burndred,45,10,1,0,1,0
289,Justin,Rodrig,42,38,1,0,0,0
290,Dolorita,Haggus,41,26,0,0,1,0
291,Stacee,MacCumeskey,35,27,1,1,1,0
292,Jewelle,Burnyate,58,42,0,0,2,0
293,Bernarr,Tivenan,33,41,1,1,0,0
294,Meta,Midgely,2,52,0,1,2,0
295,Korney,Rebeiro,52,55,0,1,0,0
296,Randee,Jurs,33,11,0,1,2,0
297,Janey,Beedie,16,15,1,1,1,0
298,Burt,O'Crevan,53,8,1,1,2,0
299,Derril,Seres,55,20,0,1,2,0
300,Brose,Eakin,38,36,1,0,2,1
301,Brewster,Haughin,11,46,1,0,0,0
302,Ida,Baruch,45,17,0,0,0,0
303,Calida,Turmel,23,19,1,1,2,0
304,Clarance,Pillinger,6,39,1,0,1,1
305,Tracie,Janota,16,23,0,0,2,0
306,Flss,Slyme,47,44,1,1,0,0
307,Meggie,Duplain,23,18,1,1,1,0
308,Cherie,Ferguson,2,16,1,1,1,0
309,Margaretha,Brereton,2,29,1,0,0,0
310,Faber,Greeve,11,38,0,0,1,0
311,Michaela,Pauwel,30,38,0,1,1,0
312,Brod,Florez,33,50,1,1,2,1
313,Sioux,Clissett,22,51,1,1,2,1
314,Fernando,Dible,56,19,1,0,1,0
315,Dewie,Orrobin,38,46,0,1,2,0
316,Rodolph,Eldredge,28,9,1,1,1,0
317,Jolene,Le febre,21,15,0,0,1,0
318,Cherry,Yakunchikov,1,6,0,0,0,0
319,Teodora,Balfe,43,38,1,0,0,0
320,Natassia,Sercombe,29,45,1,0,2,1
321,Lynnea,Fronsek,59,57,0,0,1,0
322,Tam,Landis,19,15,0,0,2,0
323,Ania,Bogace,16,13,0,0,0,0
324,Rosabel,Southerden,45,6,0,0,2,0
325,Maureen,Jeenes,50,52,0,1,2,0
326,Melisent,Garralts,43,24,1,0,2,0
327,Heywood,Corrin,60,12,0,0,2,0
328,Quentin,Rollings,3,59,0,1,2,0
329,Melonie,Stannas,54,4,0,0,1,0
330,Sydney,Thiolier,12,54,0,0,0,0
331,Cesaro,Giacovelli,56,23,0,0,2,0
332,Burl,Toffano,13,48,1,1,2,1
333,Godard,Christou,38,3,0,0,2,0
334,Judd,Spratt,51,17,0,1,1,0
335,Dorothea,Woliter,60,11,1,0,2,0
336,Nady,De Michele,42,33,0,0,2,0
337,Cyril,Waddilow,52,48,1,1,0,0
338,Guenevere,Camilleri,17,52,0,0,2,0
339,Rurik,Binnell,59,51,0,0,2,0
340,Oliver,Aphale,33,46,1,1,2,1
341,Miran,Plowright,38,8,1,1,2,0
342,Noemi,Blees,10,8,1,0,0,0
343,Laurette,McCall,7,4,0,0,2,0
344,Kattie,Beininck,53,47,0,1,2,0
345,Minnie,Whisker,58,39,1,1,2,1
346,Clementina,Cartman,26,33,1,1,1,1
347,Rudy,Galway,21,16,1,1,1,0
348,Dolph,Laxson,6,53,1,0,2,1
349,Sofie,Lewisham,58,28,1,0,1,0
350,Panchito,Maybery,27,41,0,0,1,0
351,Ham,Croal,2,46,0,1,0,0
352,Kristien,Riccardini,16,35,0,1,2,0
353,Brittany,Carnson,45,24,0,0,2,0
354,Giacobo,Bagley,17,18,1,1,0,0
355,Lynnell,Windram,49,37,1,0,1,1
356,Meridel,Bagshawe,59,12,0,1,1,0
357,Sergio,Tubb,21,37,1,1,0,0
358,Elvis,Snoden,48,16,1,0,2,0
359,Corette,Warton,11,54,0,0,0,0
360,Flint,McVee,5,15,0,0,0,0
361,Felix,Stirrup,26,27,0,0,0,0
362,Candi,Longmire,9,4,0,0,1,0
363,Muire,Sherwen,38,2,1,1,2,0
364,Marijo,Drewell,35,55,0,0,0,0
365,Farica,Heggs,18,44,1,0,2,1
366,Natividad,Cookley,49,31,0,0,0,0
367,Tiebout,Sommerville,1,58,1,0,2,1
368,Tann,Lane,29,35,0,1,2,0
369,Whitney,Lanfere,55,41,0,0,2,0
370,Sutherlan,Synan,55,54,1,0,1,1
371,Nert,Birney,39,38,1,1,2,1
372,Filip,Paydon,52,21,1,1,1,0
373,Dolly,Mikalski,58,43,0,1,0,0
374,Ammamaria,Quantrill,17,56,1,0,1,1
375,Darleen,Proger,44,29,0,1,2,0
376,Jerad,Feria,7,32,0,1,0,0
377,Mortie,Burtonshaw,14,51,0,1,0,0
378,Emery,Viggars,19,29,1,0,1,0
379,Kylynn,Wark,51,59,1,1,0,0
380,Nicole,Lenormand,49,5,1,1,0,0
381,Alistair,Sheers,12,24,1,1,1,0
382,Marj,Kelwick,25,33,1,0,1,1
383,Torrie,Langtree,42,32,1,1,1,1
384,Maddie,Kilford,32,16,0,1,1,0
385,Lorene,Boffin,42,12,0,1,2,0
386,Gabriell,Sieve,52,37,0,1,1,0
387,Sherill,Barwise,52,57,0,0,0,0
388,Greta,Velasquez,34,41,0,1,1,0
389,Lionel,Dreschler,10,48,1,0,2,1
390,Ursulina,McAne,36,25,1,1,0,0
391,Aluino,Furmonger,23,54,1,0,2,1
392,Kristan,Bowlands,24,35,1,1,1,1
393,Valaree,Jovis,59,38,0,1,0,0
394,Reggie,Cristou,36,32,1,1,0,0
395,Huntington,Gingell,4,17,0,1,2,0
396,Jefferey,Arrell,7,39,0,1,0,0
397,Moll,Walklot,22,2,0,1,2,0
398,Tremain,Gayle,21,8,0,0,0,0
399,Percy,Aldin,2,25,0,0,2,0
400,Etan,Rediers,53,29,1,1,1,0
401,Diana,Gaitskill,50,47,0,1,0,0
402,Orton,Lawford,25,24,1,0,0,0
403,Burt,Carcass,17,5,1,0,0,0
404,George,Vaudre,27,18,0,0,2,0
405,Viole,Caveill,58,23,1,0,1,0
406,Anstice,Witchalls,49,55,1,1,2,1
407,Kippar,Nevins,6,33,1,0,0,0
408,Saundra,Bath,4,24,0,1,2,0
409,Carry,Betjes,32,51,1,0,0,0
410,Flory,Clampe,41,2,1,1,1,0
411,Kimble,Bottini,20,14,0,0,0,0
412,Ashia,Constantine,17,47,1,0,2,1
413,Marshal,Sames,10,4,1,1,2,0
414,Cristin,Bradfield,35,29,1,0,1,0
415,Oneida,Moretto,36,36,1,1,0,0
416,Vachel,Plaunch,47,58,0,0,2,0
417,Judi,Hasnney,57,47,0,1,2,0
418,Teodora,Pipping,26,5,0,1,1,0
419,Glynn,Kennelly,7,8,0,1,0,0
420,Sharl,Oppery,9,41,0,1,0,0
421,Shepperd,Arthars,34,56,1,0,0,0
422,Dinah,O' Cuolahan,24,39,0,1,1,0
423,Val,Nudde,51,58,1,1,0,0
424,Sylvan,Heighton,40,23,0,1,1,0
425,Caitrin,Birdsall,39,45,0,0,1,0
426,Dulcie,Hoyle,25,9,0,0,2,0
427,Sela,Lomansey,60,50,0,1,0,0
428,Ignacio,Boot,59,30,1,0,1,0
429,Shauna,Grafton-Herbert,19,13,0,1,1,0
430,Wenda,Gorghetto,38,13,1,0,2,0
431,Ev,Marikhin,56,7,0,1,0,0
432,Rosmunda,Anten,57,43,0,1,0,0
433,Halli,Chidwick,12,45,1,1,1,1
434,Fenelia,Samwell,21,5,0,0,1,0
435,Shannon,Lowth,24,2,0,1,0,0
436,Aurora,Bezzant,28,3,1,1,2,0
437,Trenton,Domleo,3,35,1,1,0,0
438,Katrina,Baynom,28,48,0,1,2,0
439,Gael,Beaufoy,33,18,1,0,2,0
440,Wald,Groundwater,31,43,0,0,2,0
441,Alana,Farlam,42,1,0,0,1,0
442,Archibald,Seatter,45,32,1,0,2,1
443,Saxon,Couth,1,22,1,1,2,0
444,Rodge,Pavel,30,51,1,0,1,1
445,Sheri,Hance,18,50,1,0,1,1
446,Aridatha,Fuke,11,32,0,0,0,0
447,Gracia,Akehurst,29,39,1,1,1,1
448,Andrey,McCreagh,24,3,0,1,1,0
449,Roma,Neeves,26,33,1,0,2,1
450,Dallas,Jellybrand,46,57,1,1,2,1
451,Phil,Worrall,35,8,0,0,1,0
452,Jeremie,Fassum,12,56,1,0,2,1
453,Laetitia,Leipoldt,22,51,1,0,0,0
454,Ashleigh,Dewdney,12,37,1,0,2,1
455,Tiffi,Fiennes,4,60,1,1,2,1
456,Lu,Bruyntjes,46,33,1,1,0,0
457,Rhett,Bruniges,48,5,1,1,0,0
458,Boris,Cobleigh,60,11,1,1,0,0
459,Reggis,Boate,45,35,0,0,2,0
460,Maison,Bennetto,34,35,0,0,1,0
461,Eric,Masterman,2,13,1,0,2,0
462,Jolynn,Gibbonson,14,1,1,0,2,0
463,Caterina,Scneider,38,20,1,1,1,0
464,Patsy,Doche,4,43,1,1,0,0
465,Josiah,Pattini,3,16,0,1,1,0
466,Kristal,Muccino,3,59,0,1,2,0
467,Alexina,Physick,39,15,0,1,2,0
468,Vite,Creegan,15,32,1,0,2,1
469,Tanney,Ewles,47,6,0,0,0,0
470,Ingelbert,Woolpert,2,33,1,0,0,0
471,Lammond,Kelloch,4,11,0,1,2,0
472,Davide,Hewson,48,48,1,1,2,1
473,Eulalie,Hehnke,1,57,1,0,1,1
474,Fanchon,Ackred,34,40,0,0,2,0
475,Padraig,Ariss,55,30,1,0,0,0
476,Gav,Towey,35,34,1,0,2,1
477,Abbi,Arter,35,6,1,0,0,0
478,Derrick,Toman,16,34,0,1,1,0
479,Floria,Dayce,40,28,0,1,2,0
480,Carmela,Toler,54,34,0,0,0,0
481,Fidelia,Benbow,1,14,1,0,1,0
482,Kelvin,Ysson,39,39,0,0,1,0
483,Wilone,Geeraert,41,52,0,1,2,0
484,Gino,Clawson,52,52,0,1,1,0
485,Corie,Eskrigg,9,4,1,0,0,0
486,Kenn,Jacobowits,13,7,1,0,0,0
487,Dunstan,Kleynen,9,60,0,0,0,0
488,Mahalia,Aikett,22,18,1,1,2,0
489,Janey,Natalie,33,39,0,1,1,0
490,Nina,Talmadge,41,57,0,1,2,0
491,Marcella,Crowson,52,29,1,0,0,0
492,Osborne,Kirsopp,52,8,0,0,2,0
493,Christabella,Law,4,14,0,0,2,0
494,Tori,De Witt,48,2,0,0,2,0
495,Zacherie,Gimber,7,51,1,1,1,1
496,Julia,Dawtry,4,36,0,0,0,0
497,Anne-marie,Smalcombe,2,14,1,0,2,0
498,Willard,Coverdill,38,50,0,1,0,0
499,Laure,Dufer,22,2,1,0,0,0
500,Lira,Goshawke,14,4,1,0,0,0
501,Karry,Gymlett,46,8,0,0,0,0
502,Regan,Westerman,31,29,1,0,0,0
503,Kayley,Kimmel,49,14,1,1,0,0
504,Editha,Bour,42,26,0,1,0,0
505,Morgan,McCardle,15,48,1,1,0,0
506,Isak,Blundel,14,5,0,0,2,0
507,Ingeberg,Rosterne,15,29,1,0,2,0
508,Jeanine,Ackers,14,43,0,1,0,0
509,Nichols,Bickell,46,20,0,0,2,0
510,Jermaine,Baszkiewicz,20,21,1,1,0,0
511,Bambie,Winchcum,36,5,0,0,2,0
512,Berrie,Annetts,52,19,1,1,2,0
513,Kristi,Klug,28,59,0,1,0,0
514,Antoinette,Dulinty,27,4,1,1,1,0
515,Lanna,Fairfoot,59,37,1,1,0,0
516,Durante,Mardlin,57,55,1,1,0,0
517,Neils,Lovitt,36,8,1,1,2,0
518,Randy,Lodevick,55,30,0,1,1,0
519,Marin,McGiven,36,58,0,0,0,0
520,Patrica,Matejka,44,51,1,0,0,0
521,Ester,Josefsohn,58,41,1,0,0,0
522,Carolina,Mosco,30,23,1,0,2,0
523,Ricky,Jakolevitch,17,35,1,1,1,1
524,Bartholemy,Clues,47,32,0,1,0,0
525,Veronica,MacKain,11,49,1,0,2,1
526,Hanny,Noto,28,8,1,0,2,0
527,Risa,Gilfether,24,22,0,1,0,0
528,Miguela,Marquand,3,51,1,0,2,1
529,Charmian,Castleton,25,48,1,1,2,1
530,Jordan,Sherred,23,18,0,0,0,0
531,Nicoli,Clayhill,52,39,1,0,1,1
532,Ema,Crighton,34,3,0,0,1,0
533,Allyn,Courtois,35,32,0,0,2,0
534,Oliy,Wickling,52,14,0,0,2,0
535,Erny,Hardington,2,48,1,0,1,1
536,Leighton,Fripp,11,8,0,0,2,0
537,Allina,Bloys,38,48,1,1,0,0
538,Gretta,Brocking,22,45,1,0,1,1
539,Gary,Pellant,50,45,0,1,1,0
540,Jackie,Denerley,49,1,0,0,0,0
541,Bernardina,Laughren,10,60,0,1,2,0
542,Tybi,Ughini,6,2,0,0,2,0
543,Cyb,Heed,26,21,0,0,2,0
544,Bald,Dancy,33,53,0,1,0,0
545,Jonis,Patifield,6,16,0,0,0,0
546,Tatiana,Johnsey,47,38,0,0,0,0
547,Romeo,Revington,17,45,1,1,0,0
548,Nappy,Carmel,10,16,1,0,0,0
549,Roberta,Playfoot,50,11,1,0,0,0
550,Stavros,O'Lyhane,28,51,1,1,0,0
551,Myranda,Prandy,18,25,0,0,2,0
552,Ingeberg,Boffin,48,60,1,1,2,1
553,Adina,Hurler,53,54,0,1,2,0
554,Bill,Schiementz,36,37,0,1,0,0
555,Uriah,Shreve,27,27,0,1,2,0
556,Maxie,Broyd,4,52,0,1,1,0
557,Trudie,Scaysbrook,30,51,1,0,2,1
558,Gisella,Mulvagh,60,30,1,1,2,0
559,Gratia,Toby,29,47,1,0,2,1
560,Barbie,Coultish,23,40,0,1,2,0
561,Keelia,Manus,45,40,0,0,0,0
562,Casey,Troker,57,52,1,1,1,1
563,Tommie,Large,21,10,0,1,0,0
564,Madeleine,Trimnell,58,41,0,0,1,0
565,Georas,Lambal,21,5,1,0,1,0
566,Agustin,Paliser,57,9,0,1,1,0
567,Juline,Dearnly,48,7,0,1,2,0
568,Roderic,D'Elias,56,48,0,1,0,0
569,Claiborne,Fairburn,57,7,1,1,2,0
570,Bartlett,Chestnut,37,57,1,0,0,0
571,Karena,Grabbam,8,11,1,0,0,0
572,Jemie,Enos,52,7,1,1,2,0
